use,type,which,n,minLen,maxLen,numLens,minAge,maxAge,numAges,ename,sname,reason
yes,WBIC_YEAR,2742500_2004,138,120,680,19,1,13,12,eALK_2742500_2004,sALK_2742500_2004,
yes,WBIC_YEAR,2742500_2010,110,260,620,18,3,16,14,eALK_2742500_2010,sALK_2742500_2010,
yes,WBIC_YEAR,2742500_2016,66,320,640,15,3,15,13,eALK_2742500_2016,sALK_2742500_2016,
yes,WBIC_YEAR,2742700_2011,176,300,700,21,2,18,14,eALK_2742700_2011,sALK_2742700_2011,
yes,WBIC_YEAR,2747300_1984,42,320,680,13,3,16,11,eALK_2747300_1984,sALK_2747300_1984,
yes,WBIC_YEAR,2747300_1992,127,280,640,17,3,16,14,eALK_2747300_1992,sALK_2747300_1992,
yes,WBIC_YEAR,2747300_2009,172,260,680,20,2,17,13,eALK_2747300_2009,sALK_2747300_2009,
yes,WBIC_YEAR,2747300_2015,188,220,700,23,2,16,13,eALK_2747300_2015,sALK_2747300_2015,
yes,WBIC_YEAR,2762200_1990,165,300,740,21,3,13,11,eALK_2762200_1990,sALK_2762200_1990,
yes,WBIC_YEAR,2865000_1994,150,220,700,23,2,16,15,eALK_2865000_1994,sALK_2865000_1994,
yes,WBIC_YEAR,2865000_2014,157,300,680,20,3,14,12,eALK_2865000_2014,sALK_2865000_2014,
